iter	Passed	Remaining
350	496	918
351	497	916
352	499	914
353	500	913
354	501	911
355	502	908
356	503	907
357	504	905
358	505	903
359	507	901
360	508	899
361	509	897
362	510	896
363	511	894
364	513	892
365	514	891
366	515	889
367	516	887
368	518	885
369	519	884
370	520	882
371	521	880
372	522	878
373	523	877
374	525	875
375	526	873
376	527	872
377	528	870
378	530	869
379	531	867
380	532	865
381	533	863
382	535	861
383	536	860
384	537	858
385	538	856
386	539	855
387	541	853
388	542	852
389	543	850
390	545	848
391	546	847
392	547	845
393	548	844
394	549	842
395	551	840
396	552	839
397	553	837
398	555	836
399	556	834
400	557	832
401	558	830
402	559	829
403	561	827
404	562	825
405	563	824
406	564	822
407	565	820
408	567	819
409	568	817
410	569	816
411	570	814
412	572	813
413	573	811
414	574	809
415	575	808
416	576	806
417	577	804
418	578	802
419	580	801
420	581	799
421	582	797
422	583	795
423	584	794
424	585	792
425	586	790
426	588	789
427	589	787
428	590	785
429	591	783
430	592	782
431	593	780
432	594	778
433	595	777
434	597	775
435	598	773
436	599	772
437	600	770
438	601	768
439	602	767
440	603	765
441	604	763
442	606	762
443	607	760
444	608	759
445	610	757
446	611	756
447	612	754
448	613	753
449	614	751
450	615	749
451	616	747
452	617	746
453	618	744
454	620	743
455	621	741
456	622	739
457	623	738
458	624	736
459	625	734
460	627	733
461	628	731
462	629	729
463	630	728
464	631	726
465	632	725
466	634	723
467	635	722
468	636	720
469	637	719
470	638	717
471	640	716
472	641	714
473	642	712
474	643	711
475	644	709
476	645	708
477	647	706
478	648	705
479	649	703
480	650	702
481	652	700
482	653	699
483	654	698
484	656	696
485	657	694
486	658	693
487	659	692
488	660	690
489	662	689
490	663	687
491	664	686
492	665	684
493	667	683
494	668	681
495	669	680
496	670	678
497	671	677
498	672	675
499	674	674
500	675	672
501	676	671
502	677	669
503	678	668
504	680	666
505	681	665
506	682	664
507	684	662
508	685	661
509	686	659
510	687	658
511	688	656
512	690	655
513	691	653
514	692	652
515	693	650
516	694	649
517	696	647
518	697	646
519	698	644
520	699	643
521	700	641
522	702	640
523	703	639
524	704	637
525	705	636
526	707	634
527	708	633
528	709	631
529	710	630
530	711	628
531	713	627
532	714	625
533	715	624
534	716	623
535	718	621
536	719	620
537	720	618
538	721	617
539	722	615
540	724	614
541	725	613
542	726	611
543	727	610
544	729	608
545	730	607
546	731	605
547	732	604
548	733	602
549	735	601
550	736	599
551	737	598
552	738	596
553	739	595
554	740	594
555	742	592
556	743	591
557	744	589
558	745	588
559	747	587
560	748	585
561	749	584
562	750	582
563	751	581
564	752	579
565	754	578
566	755	576
567	756	575
568	757	573
569	758	572
570	760	571
571	761	569
572	762	568
573	764	567
574	765	565
575	766	564
576	767	562
577	768	561
578	769	559
579	771	558
580	772	556
581	773	555
582	774	554
583	776	552
584	777	551
585	778	550
586	779	548
587	780	547
588	782	545
589	783	544
590	784	542
591	785	541
592	786	540
593	788	538
594	789	537
595	790	536
596	792	534
597	793	533
598	794	531
599	795	530
600	797	529
601	798	527
602	799	526
603	800	525
604	802	523
605	803	522
606	804	520
607	805	519
608	806	518
609	808	516
610	809	515
611	810	513
612	811	512
613	812	510
614	813	509
615	814	507
616	816	506
617	817	505
618	818	503
619	819	502
620	820	500
621	822	499
622	823	498
623	824	496
624	825	495
625	827	494
626	828	492
627	829	491
628	831	490
629	833	489
630	834	487
631	835	486
632	836	484
633	837	483
634	838	482
635	840	480
636	841	479
637	842	478
638	843	476
639	845	475
640	846	474
641	847	472
642	848	471
643	849	469
644	851	468
645	852	467
646	853	465
647	854	464
648	856	463
649	858	462
650	859	460
651	860	459
652	861	457
653	863	456
654	864	455
655	865	454
656	866	452
657	868	451
658	869	449
659	870	448
660	871	447
661	872	445
662	874	444
663	875	442
664	876	441
665	877	440
666	878	438
667	880	437
668	881	436
669	882	434
670	883	433
671	884	431
672	886	430
673	887	429
674	889	428
675	890	426
676	891	425
677	892	423
678	893	422
679	895	421
680	896	419
681	897	418
682	898	417
683	899	415
684	901	414
685	902	413
686	903	411
687	904	410
688	905	408
689	906	407
690	908	406
691	909	404
692	910	403
693	911	401
694	912	400
695	913	399
696	914	397
697	915	396
698	916	394
699	918	393
700	919	392
701	920	390
702	921	389
703	922	388
704	923	386
705	925	385
706	926	383
707	927	382
708	928	381
709	929	379
710	930	378
711	931	376
712	933	375
713	934	374
714	935	372
715	936	371
716	937	370
717	939	368
718	940	367
719	941	366
720	942	364
721	943	363
722	945	362
723	946	360
724	947	359
725	948	358
726	950	356
727	951	355
728	952	354
729	953	352
730	954	351
731	955	349
732	957	348
733	958	347
734	959	346
735	961	344
736	962	343
737	963	342
738	964	340
739	966	339
740	967	338
741	968	336
742	970	335
743	971	334
744	972	332
745	973	331
746	975	330
747	977	329
748	978	327
749	979	326
750	980	325
751	981	323
752	983	322
753	984	321
754	985	319
755	986	318
756	987	317
757	989	315
758	990	314
759	991	313
760	992	311
761	993	310
762	995	309
763	996	307
764	997	306
765	999	305
766	1000	303
767	1001	302
768	1002	301
769	1003	299
770	1005	298
771	1006	297
772	1007	295
773	1008	294
774	1010	293
775	1011	291
776	1012	290
777	1013	289
778	1014	287
779	1016	286
780	1017	285
781	1018	283
782	1019	282
783	1021	281
784	1022	280
785	1023	278
786	1024	277
787	1025	275
788	1027	274
789	1028	273
790	1029	271
791	1030	270
792	1031	269
793	1033	268
794	1034	266
795	1035	265
796	1036	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1049	250
807	1050	249
808	1051	248
809	1052	246
810	1053	245
811	1055	244
812	1056	242
813	1057	241
814	1058	240
815	1059	239
816	1061	237
817	1062	236
818	1063	235
819	1064	233
820	1066	232
821	1067	231
822	1069	229
823	1070	228
824	1071	227
825	1072	225
826	1073	224
827	1075	223
828	1076	222
829	1077	220
830	1078	219
831	1079	218
832	1081	216
833	1082	215
834	1083	214
835	1084	212
836	1086	211
837	1087	210
838	1088	208
839	1089	207
840	1090	206
841	1091	204
842	1093	203
843	1094	202
844	1095	200
845	1096	199
846	1097	198
847	1099	197
848	1100	195
849	1101	194
850	1102	193
851	1104	191
852	1105	190
853	1106	189
854	1107	187
855	1108	186
856	1110	185
857	1111	183
858	1112	182
859	1113	181
860	1114	179
861	1116	178
862	1117	177
863	1118	176
864	1119	174
865	1121	173
866	1122	172
867	1123	170
868	1124	169
869	1125	168
870	1127	166
871	1128	165
872	1129	164
873	1130	163
874	1131	161
875	1133	160
876	1134	159
877	1135	157
878	1136	156
879	1137	155
880	1138	153
881	1140	152
882	1141	151
883	1142	149
884	1143	148
885	1144	147
886	1145	145
887	1147	144
888	1148	143
889	1149	142
890	1150	140
891	1152	139
892	1153	138
893	1154	136
894	1155	135
895	1157	134
896	1158	132
897	1159	131
898	1160	130
899	1161	129
900	1163	127
901	1164	126
902	1165	125
903	1166	123
904	1167	122
905	1168	121
906	1169	119
907	1171	118
908	1172	117
909	1173	116
910	1174	114
911	1175	113
912	1176	112
913	1177	110
914	1179	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	103
920	1185	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1192	95
926	1193	93
927	1194	92
928	1195	91
929	1196	90
930	1197	88
931	1199	87
932	1200	86
933	1201	84
934	1202	83
935	1204	82
936	1205	81
937	1206	79
938	1207	78
939	1208	77
940	1209	75
941	1211	74
942	1212	73
943	1213	71
944	1214	70
945	1215	69
946	1217	68
947	1218	66
948	1219	65
949	1220	64
950	1221	62
951	1223	61
952	1224	60
953	1225	59
954	1226	57
955	1227	56
956	1229	55
957	1230	53
958	1231	52
959	1232	51
960	1233	50
961	1234	48
962	1236	47
963	1237	46
964	1238	44
965	1240	43
966	1241	42
967	1242	41
968	1243	39
969	1244	38
970	1246	37
971	1247	35
972	1248	34
973	1249	33
974	1250	32
975	1251	30
976	1252	29
977	1253	28
978	1254	26
979	1255	25
980	1257	24
981	1258	23
982	1259	21
983	1260	20
984	1262	19
985	1263	17
986	1264	16
987	1265	15
988	1266	14
989	1268	12
990	1269	11
991	1270	10
992	1271	8
993	1273	7
994	1274	6
995	1275	5
996	1277	3
997	1278	2
998	1279	1
999	1280	0
